,Location,Borough,Date Installed,geometry,B7SCList,B7SCStartingPoints,CrossStreets,NodeList,SimilarNamesList,StartingXStreets,combined_san1_boro_vol_page,combined_san2_boro_vol_page,in_boro,in_boro2,in_func_code,in_stname1,in_stname2,out_ad,out_atomic_polygon,out_boro_name1,out_cd,out_cd_eligible,out_cdta_2020,out_census_block_2020,out_census_tract_2000,out_census_tract_2010,out_census_tract_2020,out_co,out_com_dist,out_compass,out_dcp_pref_lgc1,out_dcp_pref_lgc2,out_dot_st_light_contract_area,out_error_message,out_fire_bat,out_fire_co,out_fire_co_str,out_fire_div,out_grc,out_health_area,out_health_center_dist,out_latitude,out_lion_node_num,out_longitude,out_mc,out_nta_2020,out_police_patrol_boro,out_police_pct,out_police_sector,out_reason_code,out_san_dist_section,out_san_sub_section,out_sanborn1_boro,out_sanborn1_page,out_sanborn1_vol,out_sanborn2_boro,out_sanborn2_page,out_sanborn2_vol,out_school_dist,out_sd,out_stname1,out_stname2,out_wa1_message,out_x_coord,out_y_coord,out_zip_code,AuxiliarySegmentIDList,HighB7SCList,LowB7SCList,add_from_st_code_name,add_on_st_code_name,add_to_st_code_name,dcp_preferred_from_st_code_name,dcp_preferred_to_st_code_name,in_boro3,in_compass_dir,in_stname3,out_No_Parking_lanes,out_No_Traveling_lanes,out_Total_Lanes,out_bike_lane,out_bike_traffic_direction,out_boro_name2,out_boro_name3,out_curve_flag,out_curve_flag_direction,out_dot_street_light_contract_area,out_dsny_snow_priority,out_feature_type,out_from_latitude,out_from_longitude,out_from_node,out_from_x_coord,out_from_y_coord,out_generic_id,out_grc2,out_left_nta,out_left_police_sector,out_left_side_atomic_polygon,out_left_side_blockface_id,out_left_side_boro,out_left_side_cd_eligibility,out_left_side_cdta_2020,out_left_side_census_block_2000,out_left_side_census_block_2010,out_left_side_census_block_2020,out_left_side_census_block_suffix_2020,out_left_side_census_tract_2000,out_left_side_census_tract_2010,out_left_side_census_tract_2020,out_left_side_comdist,out_left_side_comdist_boro,out_left_side_dot_street_light_contract_area,out_left_side_fire_bat,out_left_side_fire_co,out_left_side_fire_div,out_left_side_health_area,out_left_side_health_center_dist,out_left_side_hhnd,out_left_side_iaei,out_left_side_lhnd,out_left_side_nta_2020,out_left_side_police_patrol_boro,out_left_side_police_pct,out_left_side_police_sector,out_left_side_puma_code,out_left_side_school_dist,out_left_side_zip_code,out_lionkey,out_loc_status,out_on_street_b7sc_name,out_pgb_flag,out_physical_id,out_right_nta,out_right_of_way_type,out_right_police_sector,out_right_side_atomic_polygon,out_right_side_blockface_id,out_right_side_boro,out_right_side_cd_eligibility,out_right_side_cdta_2020,out_right_side_census_block_2000,out_right_side_census_block_2010,out_right_side_census_block_2020,out_right_side_census_block_suffix_2020,out_right_side_census_tract_2000,out_right_side_census_tract_2010,out_right_side_census_tract_2020,out_right_side_comdist,out_right_side_comdist_boro,out_right_side_dot_street_light_contract_area,out_right_side_fire_bat,out_right_side_fire_co,out_right_side_fire_div,out_right_side_health_area,out_right_side_health_center_dist,out_right_side_hhnd,out_right_side_iaei,out_right_side_lhnd,out_right_side_nta_2020,out_right_side_police_patrol_boro,out_right_side_police_pct,out_right_side_police_sector,out_right_side_puma_code,out_right_side_school_dist,out_right_side_zip_code,out_roadway_type,out_seg_side_atomic_polygon,out_seg_side_blockface_id,out_seg_side_boro,out_seg_side_cd_eligibility,out_seg_side_cdta_2020,out_seg_side_census_block_2000,out_seg_side_census_block_2010,out_seg_side_census_block_2020,out_seg_side_census_tract_2000,out_seg_side_census_tract_2010,out_seg_side_census_tract_2020,out_seg_side_comdist,out_seg_side_comdist_boro,out_seg_side_fire_bat,out_seg_side_fire_co,out_seg_side_fire_div,out_seg_side_health_area,out_seg_side_health_center_dist,out_seg_side_hhnd,out_seg_side_lhnd,out_seg_side_nta,out_seg_side_nta_2020,out_seg_side_police_patrol_boro,out_seg_side_police_pct,out_seg_side_puma_code,out_seg_side_school_dist,out_seg_side_zip_code,out_segment_id,out_segment_len,out_segment_type,out_sos_ind,out_speed_limit,out_stname3,out_street_width_irregular,out_street_width_max,out_street_width_min,out_to_latitude,out_to_longitude,out_to_node,out_to_x_coord,out_to_y_coord,out_traffic_direction,out_truck_route_type
0,10th Avenue and 73rd Street,Brooklyn,7/28/2020,POINT (40.625456 -74.012828),,,,,"[{'b7sc': '30608001', 'streetName': '  10 AVENUE                     '}, {'b7sc': '31023001', 'streetName': '  73 STREET                     '}]",,3/11 /055 ,3/11 /064 ,3,3,2W,10TH AVENUE                     ,73RD STREET                     ,49,101,BROOKLYN ,11,Not CD Eligible,BK10,1000, 204  , 204  , 204  ,43,310, ,30608001/   10 AVENUE                     ,31023001/   73 STREET                     ,3,                                                                                ,42,Engine 284,Engine 284,8,00,79.20,31,40.625456,0013206,-74.012828 ,5,BK1002,BS,68, 68B, ,310/ 104,4D,3,055 ,11 ,3,064 ,11 ,20,26,  10 AVENUE                     ,  73 STREET                     ,                                                                                ,980689,167147,11228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11th Avenue and 71st Street,Brooklyn,2/4/2021,POINT (40.625242 -74.009464),,,,,"[{'b7sc': '30618001', 'streetName': '  11 AVENUE                     '}, {'b7sc': '31008001', 'streetName': '  71 STREET                     '}]",,3/11 /064 ,,3,3,2W,11TH AVENUE                     ,71ST STREET                     ,49,102,BROOKLYN ,11,CD Eligible,BK10,1002, 208  , 208  , 208  ,43,310, ,30618001/   11 AVENUE                     ,31008001/   71 STREET                     ,3,                                                                                ,42,Engine 284,Engine 284,8,00,79.20,31,40.625242,0013257,-74.009464 ,5,BK1002,BS,68, 68B, ,310/ 104,4D,3,064 ,11 , ,    ,   ,20,17,  11 AVENUE                     ,  71 STREET                     ,                                                                                ,981623,167069,11228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11th Avenue and Ovington Avenue,Brooklyn,1/23/2021,POINT (40.62681 -74.007835),,,,,"[{'b7sc': '30618001', 'streetName': '  11 AVENUE                     '}, {'b7sc': '36873001', 'streetName': 'OVINGTON AVENUE                 '}, {'b7sc': '30998001', 'streetName': '  68 STREET                     '}]",,3/11 /065 ,,3,3,2W,11TH AVENUE                     ,OVINGTON AVENUE                 ,49,102,BROOKLYN ,11,CD Eligible,BK10,1001, 210  , 210  , 210  ,43,310, ,30618001/   11 AVENUE                     ,36873001/ OVINGTON AVENUE                 ,3,                                                                                ,42,Engine 284,Engine 284,8,00,80.20,31,40.626810,0013312,-74.007835 ,5,BK1002,BS,68, 68B, ,310/ 104,4C,3,065 ,11 , ,    ,   ,20,17,  11 AVENUE                     ,OVINGTON AVENUE                 ,                                                                                ,982075,167640,11219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14th Avenue and 36th Street (New York Industries for the Blind),Brooklyn,8/18/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17th Avenue and 72nd Street,Brooklyn,4/12/2020,POINT (40.616555 -73.996582),,,,,"[{'b7sc': '30678001', 'streetName': '  17 AVENUE                     '}, {'b7sc': '31018001', 'streetName': '  72 STREET                     '}, {'b7sc': '31006501', 'streetName': 'JOSEPHINE DIANA BOULEVARD       '}]",,3/12 /053 ,3/12 /061 ,3,3,2W,17TH AVENUE                     ,72ND STREET                     ,49,204,BROOKLYN ,11,CD Eligible,BK11,2006, 262  , 262  , 262  ,43,311, ,30678001/   17 AVENUE                     ,31018001/   72 STREET                     ,3,                                                                                ,42,Ladder 149,Ladder 149,8,00,81.20,31,40.616555,0013483,-73.996582 ,5,BK1101,BS,62, 62A, ,311/ 112,2C,3,053 ,12 ,3,061 ,12 ,20,17,  17 AVENUE                     ,  72 STREET                     ,                                                                                ,985199,163904,11204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,17th Avenue and 78th Street,Brooklyn,4/5/2021,POINT (40.613111 -74.000158),,,,,"[{'b7sc': '30678001', 'streetName': '  17 AVENUE                     '}, {'b7sc': '31048001', 'streetName': '  78 STREET                     '}]",,3/12 /055 ,3/12 /059 ,3,3,2W,17TH AVENUE                     ,78TH STREET                     ,49,304,BROOKLYN ,11,CD Eligible,BK11,3004, 264  , 264  , 264  ,43,311, ,30678001/   17 AVENUE                     ,31048001/   78 STREET                     ,3,                                                                                ,42,Ladder 149,Ladder 149,8,00,81.20,31,40.613111,0013407,-74.000158 ,5,BK1101,BS,62, 62A, ,311/ 113,3D,3,055 ,12 ,3,059 ,12 ,20,17,  17 AVENUE                     ,  78 STREET                     ,                                                                                ,984206,162649,11214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17th Avenue at 73rd Street,Brooklyn,3/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,18th Avenue and 54th Street,Brooklyn,4/7/2020,POINT (40.625464 -73.983832),,,,,"[{'b7sc': '30688001', 'streetName': '  18 AVENUE                     '}, {'b7sc': '30928001', 'streetName': '  54 STREET                     '}]",,3/10A/013 ,3/10A/019 ,3,3,2W,18TH AVENUE                     ,54TH STREET                     ,48,101,BROOKLYN ,09,CD Eligible,BK12,1005, 470  , 470  , 470  ,44,312, ,30688001/   18 AVENUE                     ,30928001/   54 STREET                     ,3,                                                                                ,40,Engine 247,Engine 247,8,00,71.10,35,40.625464,0013712,-73.983832 ,5,BK1202,BS,66, 66A, ,312/ 124,4D,3,013 ,10A,3,019 ,10A,21,22,  18 AVENUE                     ,  54 STREET                     ,                                                                                ,988738,167150,11204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,18th Avenue and 65th Street,Brooklyn,6/2/2022,POINT (40.619132 -73.990181),,,,,"[{'b7sc': '30688001', 'streetName': '  18 AVENUE                     '}, {'b7sc': '30983001', 'streetName': '  65 STREET                     '}]",,3/10A/026 ,3/10A/027 ,3,3,2W,18TH AVENUE                     ,65TH STREET                     ,49,101,BROOKLYN ,11,CD Eligible,BK11,1000, 252  , 252  , 252  ,38,311, ,30688001/   18 AVENUE                     ,30983001/   65 STREET                     ,3,                                                                                ,42,Ladder 172,Ladder 172,8,00,81.20,31,40.619132,0013571,-73.990181 ,5,BK1101,BS,62, 62A, ,311/ 111,1D,3,026 ,10A,3,027 ,10A,20,17,  18 AVENUE                     ,  65 STREET                     ,                                                                                ,986976,164843,11204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,18th Avenue and East 8th Street,Brooklyn,1/13/2021,POINT (40.634195 -73.969869),,,,,"[{'b7sc': '30688001', 'streetName': '  18 AVENUE                     '}, {'b7sc': '33513001', 'streetName': 'EAST    8 STREET                '}]",,3/10A/054 ,3/10A/055 ,3,3,2W,18TH AVENUE                     ,EAST 8TH STREET                 ,44,102,BROOKLYN ,09,CD Eligible,BK14,5001, 482  , 482  , 482  ,40,312, ,30688001/   18 AVENUE                     ,33513001/ EAST    8 STREET                ,3,                                                                                ,41,Engine 250,Engine 250,15,00,70.00,35,40.634195,0018000,-73.969869 ,6,BK1402,BS,66, 66D, ,314/ 142,2C,3,054 ,10A,3,055 ,10A,22,21,  18 AVENUE                     ,EAST    8 STREET                ,                                                                                ,992613,170332,11218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
