LineNumber,Location,Borough,Errors
3,14th Avenue and 36th Street (New York Industries for the Blind),Brooklyn,'36TH STREET (NEW YORK INDUSTRIES' NOT RECOGNIZED. IS IT '  36 STREET'?         
15,4th Avenue and 240' South of 3rd Street (mid-block),Brooklyn,'240' SOUTH OF 3RD STREET (MID-BL' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES   
30,7th Avenue and 81st Street,Brooklyn,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
41,86th Street between West 8th Street and West 9th Street (mid-block),Brooklyn,'WEST 9TH STREET (MID-BLOCK)' NOT RECOGNIZED. IS IT 'WEST    9 STREET'?         
42,"86th Street with McDonald Avenue, Avenue X and Shell Road",Brooklyn,"'MCDONALD AVENUE, AVENUE X' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES.        "
43,87th Street between 4th Avenue and 5th Avenue (mid-block),Brooklyn,'5TH AVENUE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES.           
47,Adams Street between Fulton Street and Johnson Street (mid-block),Brooklyn,'JOHNSON STREET (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.       
48,Adams Street/Boerum Place and Fulton Street,Brooklyn,'ADAMS STREET/BOERUM PLACE' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.        
49,Adams Street/Boerum Place and Livingston Street,Brooklyn,'ADAMS STREET/BOERUM PLACE' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.        
50,Atlantic Avenue and 134th Street,Brooklyn,'134TH STREET' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES                       
62,Atlantic Avenue and Sheridan Avenue/Nichols Avenue,Brooklyn,'SHERIDAN AVENUE/NICHOLS AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.   
66,Atlantic Avenue with East New York Avenue and Williams Place,Brooklyn,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
95,Avenue V with Gravesend Neck Road and East 23rd Street,Brooklyn,                                                                                
101,Bay Parkway with Avenue J and East 4th Street,Brooklyn,                                                                                
103,Bedford Avenue between Avenue I and Campus Road (mid-block),Brooklyn,'CAMPUS ROAD (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES.          
107,Blake Avenue with Howard Avenue and Tapscott Street,Brooklyn,STREET COMBINATION NOT UNIQUE                                                   
114,Broadway and Hewes Street,Brooklyn,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
119,Bushwick Avenue and Moore Street,Brooklyn,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
121,Caton Avenue and East 8th Street,Brooklyn,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
122,Caton Avenue with East 17th Street and Parade Place,Brooklyn,                                                                                
127,Church Avenue and Dahill Avenue (New York Industries for the Blind),Brooklyn,'DAHILL AVENUE (NEW YORK INDUSTRI' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES. 
130,Church Avenue and McDonald Avenue (New York Industries for the Blind),Brooklyn,'MCDONALD AVENUE (NEW YORK INDUST' NOT RECOGNIZED. THERE ARE 006 SIMILAR NAMES. 
132,Church Avenue with Buckingham Road and East 16th Street,Brooklyn,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
133,Church Avenue with East 32nd Street and Raleigh Place,Brooklyn,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
134,Church Avenue with Fairview Place and East 31st Street,Brooklyn,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
135,Clarkson Avenue and Kings County Hospital Entrance (200' West of East 37th Street),Brooklyn,'KINGS COUNTY HOSPITAL ENTRANCE (' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. 
143,Coney Island Avenue between Avenue H and Glenwood Road (mid-block),Brooklyn,'GLENWOOD ROAD (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 009 SIMILAR NAMES.        
149,Court Street with Remsen and Joralemon Street,Brooklyn,'REMSEN' NOT RECOGNIZED. THERE ARE 002 SIMILAR NAMES.                           
151,Cropsey Avenue and Bay 35th / 24th Avenue,Brooklyn,'BAY 35TH / 24TH AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.           
152,Cropsey Avenue and Bay 49th Street,Brooklyn,STREETS INTERSECT TWICE- FT BETWEEN INTERSECTIONS. COMPASS DIRECTION REQ'D      
161,Driggs Avenue and Union Avenue (mid-block),Brooklyn,'UNION AVENUE (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.         
164,East New York Avenue at Dean Street and Sackman Street,Brooklyn,'DEAN STREET&SACKMAN STREET' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES.       
165,"East New York Avenue with East 93rd Street, Ford Street and Rochester Avenue",Brooklyn,"'EAST 93RD STREET, FORD STREET' NOT RECOGNIZED. IS IT 'EAST   93 STREET'?       "
169,Erskine Street and 180' South of Schroeders Avenue,Brooklyn,'180' SOUTH OF SCHROEDERS AVENUE' NOT RECOGNIZED. THERE ARE NO SIMILAR NAMES    
174,Farragut Road with East 26th Street and Amersfort Place,Brooklyn,INPUT DOES NOT DEFINE A STREET SEGMENT                                          
178,Flatbush Avenue and Beekman Place with Maple Street,Brooklyn,'FLATBUSH AVENUE & BEEKMAN PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.  
180,Flatbush Avenue and Dekalb Avenue,Brooklyn,DEKALB AVENUE & FLATBUSH AVENUE DO NOT INTERSECT                                
181,Flatbush Avenue and Glenwood Road (west leg),Brooklyn,'GLENWOOD ROAD (WEST LEG)' NOT RECOGNIZED. THERE ARE 009 SIMILAR NAMES.         
184,Flatbush Avenue and Prospect Park Zoo (mid-block),Brooklyn,'PROSPECT PARK ZOO (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.    
186,Flatbush Avenue and Willoughby Street,Brooklyn,WILLOUGHBY STREET & FLATBUSH AVENUE DO NOT INTERSECT                            
188,Flatbush Avenue at Fulton Street and Nevins Street,Brooklyn,'FULTON STREET&NEVINS STREET' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES.      
189,Flatbush Avenue between Avenue U and Avenue V (mid-block),Brooklyn,'AVENUE V (MID-BLOCK)' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES.             
190,Flatbush Avenue with Brooklyn Avenue and Avenue J,Brooklyn,                                                                                
191,Flatbush Avenue with Glenwood Road and East 29th Street (east leg),Brooklyn,'EAST 29TH STREET (EAST LEG)' NOT RECOGNIZED. IS IT 'EAST   29 STREET'?         
